# main body x,main body y,wheel left x,wheel left y,wheel right x,wheel right y,right 1 external,right 1 internal,wheel left hinge internal,wheel left hinge external,wheel left hinge applied force,wheel left hinge applied velocity,wheel right hinge internal,wheel right hinge external,wheel right hinge applied force,wheel right hinge applied velocity
2.250,0.000,2.201,0.070,2.299,-0.070,-1.000,0.500,0.000,0.000,1000.000,0.000,0.000,0.000,1000.000,0.000
2.250,0.000,2.201,0.070,2.299,-0.070,-1.000,0.500,-0.000,-0.000,1000.000,0.000,-0.000,-0.000,1000.000,0.000
2.250,0.000,2.201,0.070,2.299,-0.070,-1.000,0.500,-0.000,-0.000,1000.000,0.000,-0.000,-0.000,1000.000,0.000
2.250,0.000,2.201,0.070,2.299,-0.070,-1.000,0.500,-0.000,-0.000,1000.000,0.000,-0.000,-0.000,1000.000,0.000
2.250,0.000,2.201,0.070,2.299,-0.070,-1.000,0.500,0.000,0.000,1000.000,0.000,-0.000,-0.000,1000.000,0.000
2.250,0.000,2.201,0.070,2.299,-0.070,-1.000,0.500,0.000,0.000,1000.000,0.000,-0.000,-0.000,1000.000,0.000
2.250,0.000,2.201,0.070,2.299,-0.070,-1.000,0.500,0.000,0.000,1000.000,0.000,-0.000,-0.000,1000.000,0.000
2.250,0.000,2.201,0.070,2.299,-0.070,-1.000,0.500,0.000,0.000,1000.000,0.000,-0.000,-0.000,1000.000,0.000
2.250,0.000,2.201,0.070,2.299,-0.070,-1.000,0.500,0.000,0.000,1000.000,0.000,-0.000,-0.000,1000.000,0.000
2.250,0.000,2.201,0.070,2.299,-0.070,-1.000,0.500,0.000,0.000,1000.000,0.000,-0.000,-0.000,1000.000,0.000
2.250,0.000,2.201,0.070,2.299,-0.070,-1.000,0.500,0.000,0.000,1000.000,7.616,-0.001,-0.000,1000.000,7.616
